District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
7,Phú Thuận,"[106.750953674316,10.7137279510499 106.743751525879,10.7134389877319 106.73698425293,10.714322090149 106.736801147461,10.7176008224487 106.736465454102,10.7209987640382 106.733055114746,10.7277555465699 106.730430603027,10.7375707626343 106.740768432617,10.7428951263428 106.740776062012,10.7437257766723 106.744606018067,10.7448539733886 106.746192932129,10.7427415847779 106.74796295166,10.7418851852418 106.751907348633,10.741888999939 106.758781433105,10.7447109222412 106.767738342285,10.7419271469116 106.753845214844,10.7248249053955 106.752006530762,10.7210988998413 106.750953674316,10.7137279510499]",,Not open,
7,Tân Hưng,"[106.70435333252,10.7449989318849 106.703575134277,10.7399082183838 106.703056335449,10.7369079589845 106.699066162109,10.7380466461182 106.694976806641,10.7361383438111 106.691970825195,10.7415647506715 106.692977905273,10.745231628418 106.690498352051,10.7499074935913 106.690483093262,10.7521743774415 106.695289611816,10.7522802352906 106.702239990234,10.7523584365846 106.704986572266,10.7523860931396 106.70435333252,10.7449989318849]",,Ok,
7,Tân Kiểng,"[106.704986572266,10.7523860931396 106.705116271973,10.752387046814 106.709892272949,10.7524366378785 106.713989257812,10.7524528503419 106.715850830078,10.7524538040162 106.715866088867,10.7456140518189 106.715866088867,10.7443914413452 106.707176208496,10.7454900741577 106.70435333252,10.7449989318849 106.704986572266,10.7523860931396]",,Ok,
7,Tân Phong,"[106.714942932129,10.7384357452393 106.713188171387,10.7346258163452 106.712371826172,10.7343645095826 106.712425231934,10.7334423065185 106.716453552246,10.7289915084838 106.718620300293,10.7243099212646 106.720542907715,10.7225933074951 106.719093322754,10.7192907333375 106.717994689941,10.7188539505005 106.711418151856,10.7207441329957 106.708755493164,10.7195940017701 106.707664489746,10.7204341888429 106.707427978516,10.7234525680541 106.706268310547,10.7250070571899 106.703224182129,10.7253284454347 106.699317932129,10.7242660522462 106.692672729492,10.7255363464357 106.690132141113,10.7252578735353 106.690620422363,10.7308139801026 106.693550109863,10.7331447601319 106.694976806641,10.7361383438111 106.699066162109,10.7380466461182 106.703056335449,10.7369079589845 106.703575134277,10.7399082183838 106.714942932129,10.7384357452393]",,Ok,
7,Tân Phú,"[106.736801147461,10.7176008224487 106.733924865723,10.7184267044067 106.729904174805,10.7130641937256 106.725143432617,10.7121248245239 106.722969055176,10.7157287597657 106.725158691406,10.7192573547364 106.724853515625,10.7208337783814 106.720542907715,10.7225933074951 106.718620300293,10.7243099212646 106.716453552246,10.7289915084838 106.712425231934,10.7334423065185 106.712371826172,10.7343645095826 106.713188171387,10.7346258163452 106.714942932129,10.7384357452393 106.715934753418,10.7383689880371 106.730430603027,10.7375707626343 106.733055114746,10.7277555465699 106.736465454102,10.7209987640382 106.736801147461,10.7176008224487]",,Ok,
7,Tân Quy,"[106.715934753418,10.7383689880371 106.714942932129,10.7384357452393 106.703575134277,10.7399082183838 106.70435333252,10.7449989318849 106.707176208496,10.7454900741577 106.715866088867,10.7443914413452 106.715934753418,10.7383689880371]",,Ok,
7,Tân Thuận Đông,"[106.744606018067,10.7448539733886 106.740776062012,10.7437257766723 106.740768432617,10.7428951263428 106.730430603027,10.7375707626343 106.728736877441,10.7497472763062 106.728042602539,10.7542791366577 106.720802307129,10.7561168670655 106.722045898438,10.7592611312866 106.72509765625,10.7589902877808 106.730079650879,10.7598505020141 106.733764648437,10.7626628875732 106.734771728516,10.7667837142945 106.735237121582,10.7746829986573 106.73681640625,10.7767906188965 106.739616394043,10.7775573730468 106.743225097656,10.7768115997316 106.747650146484,10.7736616134644 106.751907348633,10.7681159973144 106.752639770508,10.7635860443115 106.751586914063,10.7609109878541 106.744781494141,10.750982284546 106.744186401367,10.7476930618287 106.744606018067,10.7448539733886]",,Not open,
7,Tân Thuận Tây,"[106.715866088867,10.7456140518189 106.715850830078,10.7524538040162 106.719024658203,10.7534561157227 106.720802307129,10.7561168670655 106.728042602539,10.7542791366577 106.728736877441,10.7497472763062 106.726318359375,10.749481201172 106.717964172363,10.7458124160767 106.715866088867,10.7456140518189]",,Ok,
Nhà Bè,Nhà Bè,"[106.727546691895,10.6835203170777 106.728775024414,10.6854486465454 106.727508544922,10.687933921814 106.727027893066,10.6934156417847 106.723159790039,10.6960382461548 106.722938537598,10.6969099044801 106.726272583008,10.6998453140259 106.727600097656,10.6988353729249 106.732429504394,10.6977834701539 106.734199523926,10.698902130127 106.735725402832,10.7031812667847 106.744789123535,10.7031536102295 106.751945495605,10.7049779891968 106.757308959961,10.6940908432007 106.760124206543,10.6910867691041 106.753692626953,10.6854896545411 106.751655578613,10.6842546463013 106.75080871582,10.6852340698242 106.747009277344,10.6818132400513 106.742553710937,10.6882019042969 106.741996765137,10.6874341964722 106.741561889649,10.6878538131714 106.739959716797,10.6871976852418 106.739395141602,10.6861457824707 106.739135742188,10.6868419647217 106.737548828125,10.6861448287964 106.734596252441,10.6864976882934 106.734107971192,10.6874418258667 106.733093261719,10.6874952316285 106.731719970703,10.6864004135132 106.730621337891,10.6833562850952 106.729431152344,10.6838827133178 106.727546691895,10.6835203170777]","https://www.google.com/maps/place/Nh%C3%A0+B%C3%A8,+Ho+Chi+Minh+City,+Vietnam/@10.749544,106.4389009,11z/data=!4m5!3m4!1s0x31753a7edc0a72bd:0xe30753317c3d93e6!8m2!3d10.6952642!4d106.704874",Not open,2
Nhà Bè,Hiệp Phước,"[106.723571777344,10.5910959243774 106.723503112793,10.5935935974121 106.720230102539,10.5963087081909 106.720542907715,10.5977153778076 106.722290039063,10.599536895752 106.719665527344,10.6026592254639 106.718803405762,10.6059007644654 106.722312927246,10.6073122024537 106.72386932373,10.6119003295899 106.726623535156,10.6111526489258 106.728591918945,10.6086864471437 106.729042053223,10.6092319488525 106.731536865234,10.608832359314 106.73282623291,10.6099014282226 106.73152923584,10.6121730804443 106.729072570801,10.6121168136597 106.727638244629,10.6156873703002 106.727905273438,10.6167201995849 106.729309082031,10.6164798736572 106.729965209961,10.6203632354737 106.731864929199,10.6227455139161 106.731559753418,10.6236534118653 106.728363037109,10.6243209838868 106.729057312012,10.6280870437623 106.72981262207,10.6285800933838 106.731674194336,10.6277151107789 106.73331451416,10.6288404464723 106.731163024902,10.6329383850098 106.731422424316,10.6339168548584 106.732490539551,10.6341247558593 106.732978820801,10.6367635726928 106.73462677002,10.6377353668213 106.736000061035,10.6398468017578 106.740982055664,10.6411209106446 106.746200561523,10.6455745697021 106.749069213867,10.6496410369874 106.763977050781,10.6449508666993 106.769142150879,10.6400070190431 106.770965576172,10.6367483139039 106.771514892578,10.6334314346313 106.77042388916,10.6200551986694 106.772430419922,10.6137371063232 106.777847290039,10.6050424575806 106.78263092041,10.5971002578736 106.783439636231,10.5879011154175 106.782676696777,10.5819358825685 106.779182434082,10.577260017395 106.773132324219,10.5758438110352 106.769752502441,10.5765247344972 106.765647888184,10.5794563293458 106.760856628418,10.5815296173095 106.757957458496,10.581753730774 106.751335144043,10.5808267593384 106.747047424316,10.5779237747194 106.74528503418,10.5756759643555 106.741218566894,10.5791063308717 106.738128662109,10.5784254074097 106.736709594727,10.57692527771 106.735137939453,10.5775890350343 106.735023498535,10.5789346694947 106.738922119141,10.5814085006714 106.739486694336,10.5827836990356 106.738975524902,10.5850944519044 106.737022399902,10.5863342285157 106.735221862793,10.5859012603761 106.734954833984,10.5826997756959 106.732765197754,10.5802030563356 106.728713989258,10.5799570083619 106.726608276367,10.5842971801759 106.727180480957,10.5855016708374 106.725547790527,10.5851554870607 106.723289489746,10.5880689620972 106.723571777344,10.5910959243774]",,Not open,
Nhà Bè,Long Thới,"[106.731422424316,10.6339168548584 106.729629516602,10.6364459991456 106.725593566895,10.6382236480713 106.724899291992,10.6400985717773 106.723213195801,10.6414299011232 106.722587585449,10.6458683013916 106.721290588379,10.6462488174439 106.718757629395,10.6455850601196 106.712043762207,10.65030002594 106.707511901855,10.6498823165894 106.704833984375,10.6509256362914 106.703964233399,10.6531734466553 106.701866149902,10.6530838012696 106.700920104981,10.6539497375489 106.700523376465,10.6552324295043 106.702583312988,10.6558618545533 106.701759338379,10.6580829620361 106.702140808105,10.6591024398804 106.70288848877,10.6589727401734 106.703025817871,10.6613960266114 106.703834533691,10.6617183685304 106.703514099121,10.6654214859008 106.706237792969,10.6668548583985 106.712493896484,10.6658611297608 106.713859558106,10.6644105911255 106.715690612793,10.664026260376 106.72282409668,10.6669521331787 106.722373962402,10.6677885055542 106.723106384277,10.6681890487672 106.725700378418,10.6686840057374 106.72721862793,10.6667995452881 106.728988647461,10.6675109863281 106.729682922363,10.6666221618653 106.739158630371,10.6651268005371 106.739242553711,10.6612052917481 106.741607666016,10.6557083129883 106.749069213867,10.6496410369874 106.746200561523,10.6455745697021 106.740982055664,10.6411209106446 106.736000061035,10.6398468017578 106.73462677002,10.6377353668213 106.732978820801,10.6367635726928 106.732490539551,10.6341247558593 106.731422424316,10.6339168548584]",,Not open,
Nhà Bè,Nhơn Đức,"[106.678771972656,10.6683397293092 106.67896270752,10.6721134185792 106.681175231934,10.6757383346559 106.681488037109,10.677574157715 106.679557800293,10.6824636459351 106.68611907959,10.6860122680663 106.689590454102,10.6855421066284 106.690078735352,10.6882371902466 106.68904876709,10.6893997192384 106.690650939942,10.6944189071655 106.694869995117,10.6911516189575 106.698417663574,10.6922273635864 106.701622009277,10.6887512207032 106.702835083008,10.6889724731446 106.705619812012,10.6865091323853 106.707214355469,10.686068534851 106.708732604981,10.6845788955689 106.708633422852,10.682689666748 106.709953308105,10.6821880340576 106.71263885498,10.6844444274902 106.71305847168,10.6822004318238 106.714714050293,10.6813859939575 106.717056274414,10.6819925308229 106.719528198242,10.6804933547974 106.725799560547,10.6808013916017 106.727409362793,10.6780967712402 106.727073669434,10.674090385437 106.728988647461,10.6675109863281 106.72721862793,10.6667995452881 106.725700378418,10.6686840057374 106.723106384277,10.6681890487672 106.722373962402,10.6677885055542 106.72282409668,10.6669521331787 106.715690612793,10.664026260376 106.713859558106,10.6644105911255 106.712493896484,10.6658611297608 106.706237792969,10.6668548583985 106.703514099121,10.6654214859008 106.703834533691,10.6617183685304 106.703025817871,10.6613960266114 106.70288848877,10.6589727401734 106.702140808105,10.6591024398804 106.701759338379,10.6580829620361 106.702583312988,10.6558618545533 106.700523376465,10.6552324295043 106.700920104981,10.6539497375489 106.697303771973,10.6519021987915 106.696212768555,10.6498003005982 106.691337585449,10.6484956741334 106.690490722656,10.6488494873047 106.690361022949,10.651372909546 106.688438415527,10.6534156799317 106.687644958496,10.6557292938233 106.685325622559,10.6567287445069 106.684295654297,10.6613388061524 106.680374145508,10.6629190444947 106.678924560547,10.6644735336304 106.678771972656,10.6683397293092]",,Not open,
Nhà Bè,Phú Xuân,"[106.725799560547,10.6808013916017 106.727546691895,10.6835203170777 106.729431152344,10.6838827133178 106.730621337891,10.6833562850952 106.731719970703,10.6864004135132 106.733093261719,10.6874952316285 106.734107971192,10.6874418258667 106.734596252441,10.6864976882934 106.737548828125,10.6861448287964 106.739135742188,10.6868419647217 106.739395141602,10.6861457824707 106.739959716797,10.6871976852418 106.741561889649,10.6878538131714 106.741996765137,10.6874341964722 106.742553710937,10.6882019042969 106.747009277344,10.6818132400513 106.75080871582,10.6852340698242 106.751655578613,10.6842546463013 106.753692626953,10.6854896545411 106.760124206543,10.6910867691041 106.770973205566,10.6800909042358 106.772178649902,10.6775150299072 106.772758483887,10.6762924194336 106.773704528809,10.6731052398682 106.772796630859,10.668706893921 106.76880645752,10.6658105850219 106.765510559082,10.6652860641479 106.752456665039,10.670428276062 106.747604370117,10.6709337234497 106.742309570313,10.6697854995729 106.739891052246,10.667200088501 106.739158630371,10.6651268005371 106.729682922363,10.6666221618653 106.728988647461,10.6675109863281 106.727073669434,10.674090385437 106.727409362793,10.6780967712402 106.725799560547,10.6808013916017]",,Not open,
Nhà Bè,Phước Kiến,"[106.727546691895,10.6835203170777 106.725799560547,10.6808013916017 106.719528198242,10.6804933547974 106.717056274414,10.6819925308229 106.714714050293,10.6813859939575 106.71305847168,10.6822004318238 106.71263885498,10.6844444274902 106.709953308105,10.6821880340576 106.708633422852,10.682689666748 106.708732604981,10.6845788955689 106.707214355469,10.686068534851 106.705619812012,10.6865091323853 106.702835083008,10.6889724731446 106.701622009277,10.6887512207032 106.698417663574,10.6922273635864 106.699035644531,10.6944208145141 106.694190979004,10.7002782821655 106.69352722168,10.7037315368653 106.690719604492,10.7106904983522 106.688865661621,10.7121019363403 106.688491821289,10.7160520553589 106.68962097168,10.7188158035279 106.688865661621,10.7211990356446 106.690132141113,10.7252578735353 106.692672729492,10.7255363464357 106.699317932129,10.7242660522462 106.703224182129,10.7253284454347 106.706268310547,10.7250070571899 106.707427978516,10.7234525680541 106.707664489746,10.7204341888429 106.708755493164,10.7195940017701 106.711418151856,10.7207441329957 106.717994689941,10.7188539505005 106.719093322754,10.7192907333375 106.720542907715,10.7225933074951 106.724853515625,10.7208337783814 106.725158691406,10.7192573547364 106.722969055176,10.7157287597657 106.725143432617,10.7121248245239 106.725883483887,10.709387779236 106.724472045898,10.705680847168 106.725868225098,10.7030811309814 106.726272583008,10.6998453140259 106.722938537598,10.6969099044801 106.723159790039,10.6960382461548 106.727027893066,10.6934156417847 106.727508544922,10.687933921814 106.728775024414,10.6854486465454 106.727546691895,10.6835203170777]",,Ok,
Nhà Bè,Phước Lộc,"[106.679557800293,10.6824636459351 106.676200866699,10.6854076385498 106.675704956055,10.6892833709717 106.673332214355,10.6923561096193 106.674598693848,10.7022027969361 106.673301696777,10.7040891647339 106.674446105957,10.7051057815552 106.676658630371,10.7097082138062 106.678199768066,10.70982837677 106.678726196289,10.7116651535034 106.681228637695,10.71452999115 106.683959960938,10.7134075164796 106.685760498047,10.7116594314576 106.688865661621,10.7121019363403 106.690719604492,10.7106904983522 106.69352722168,10.7037315368653 106.694190979004,10.7002782821655 106.699035644531,10.6944208145141 106.698417663574,10.6922273635864 106.694869995117,10.6911516189575 106.690650939942,10.6944189071655 106.68904876709,10.6893997192384 106.690078735352,10.6882371902466 106.689590454102,10.6855421066284 106.68611907959,10.6860122680663 106.679557800293,10.6824636459351]",,Ok,
Cần Giờ,Cần Thạnh,"[106.942649841309,10.3854494094849 106.935401916504,10.3935604095458 106.934791564942,10.3951635360718 106.936019897461,10.396951675415 106.934036254883,10.3959226608278 106.933471679687,10.396248817444 106.935264587402,10.3979864120483 106.933547973633,10.3979816436768 106.933601379395,10.3984775543213 106.936485290527,10.4007415771485 106.936836242676,10.4052524566652 106.935287475586,10.4052886962891 106.935737609863,10.4126462936402 106.930320739746,10.4128389358521 106.925155639648,10.4155120849611 106.923614501953,10.4178562164308 106.920227050781,10.4207239151 106.922439575195,10.4248962402343 106.92261505127,10.426531791687 106.919342041016,10.4281644821168 106.917839050293,10.4296607971192 106.91764831543,10.4310188293458 106.92008972168,10.437056541443 106.921867370605,10.4387607574463 106.928665161133,10.4402179718018 106.939949035644,10.4399452209473 106.953857421875,10.4449310302734 106.962684631348,10.438494682312 106.972602844238,10.4331607818604 106.982292175293,10.4247455596923 106.985298156738,10.4182024002075 106.985610961914,10.4131956100464 106.980964660644,10.4052305221558 106.976219177246,10.3996925354004 106.970550537109,10.3948135375977 106.942649841309,10.3854494094849]","https://www.google.com/maps/place/C%E1%BA%A7n+Gi%E1%BB%9D,+Ho+Chi+Minh+City,+Vietnam/@10.5227951,106.7333125,11z/data=!3m1!4b1!4m5!3m4!1s0x31753f89f9cd22e5:0x9b3c0cf29b5dcb1a!8m2!3d10.5083266!4d106.8635004",Not open,0
Cần Giờ,An Thới Đông,"[106.832344055176,10.6087465286255 106.833839416504,10.6064786911011 106.832099914551,10.602445602417 106.832397460938,10.6008129119874 106.834259033203,10.5997972488404 106.835998535156,10.6020784378052 106.837059020996,10.6019277572632 106.837074279785,10.6008377075196 106.835754394531,10.5999307632447 106.836929321289,10.5990400314332 106.83659362793,10.5972976684571 106.838233947754,10.5964965820314 106.838615417481,10.5950040817261 106.843139648438,10.5932025909424 106.842971801758,10.5926351547242 106.844711303711,10.5917053222657 106.844352722168,10.5908718109131 106.845436096191,10.5911903381348 106.845489501953,10.5902824401856 106.844314575195,10.5903158187867 106.845016479492,10.5895252227784 106.847152709961,10.5911703109742 106.848541259766,10.5884494781494 106.847991943359,10.5878763198853 106.849479675293,10.5829811096191 106.837471008301,10.5835161209106 106.834671020508,10.5817146301271 106.834655761719,10.5788869857789 106.838027954102,10.569881439209 106.837493896484,10.5638084411622 106.838661193848,10.5586853027344 106.841156005859,10.5563278198242 106.849822998047,10.5508251190186 106.850639343262,10.5482873916627 106.848899841309,10.5433254241943 106.849403381348,10.539852142334 106.850746154785,10.5385522842408 106.858764648438,10.5360841751099 106.862770080566,10.5340614318849 106.866432189941,10.530939102173 106.872665405273,10.5229206085206 106.870880126953,10.5188512802125 106.870399475098,10.5126886367798 106.867683410645,10.5112380981446 106.866569519043,10.5095748901367 106.867042541504,10.507882118225 106.871650695801,10.5056390762329 106.873062133789,10.5029048919678 106.871864318848,10.4995565414429 106.870162963867,10.4982404708862 106.865631103516,10.4974775314331 106.863906860352,10.4964561462403 106.855186462402,10.4936790466309 106.852752685547,10.4936828613282 106.850730895996,10.4946699142457 106.848876953125,10.4971990585327 106.847991943359,10.5025606155396 106.846099853516,10.5045890808105 106.844383239746,10.5050773620607 106.842353820801,10.5048809051514 106.834053039551,10.4976568222046 106.831764221192,10.4972543716431 106.829055786133,10.4981803894044 106.827255249023,10.4999885559082 106.825294494629,10.5055074691774 106.824569702148,10.506630897522 106.823211669922,10.5068893432618 106.82112121582,10.5033931732179 106.819686889648,10.4980459213257 106.817840576172,10.4958038330079 106.812477111816,10.4934282302858 106.809379577637,10.4929876327515 106.803001403809,10.4941339492799 106.798049926758,10.4901046752931 106.786750793457,10.504397392273 106.78857421875,10.5132856369019 106.787857055664,10.5154008865358 106.781776428223,10.5214138031006 106.78059387207,10.5308084487915 106.776100158692,10.5383977890015 106.776550292969,10.540678024292 106.779754638672,10.5445261001587 106.780166625977,10.5457944869996 106.77961730957,10.547061920166 106.773170471191,10.5500011444092 106.772468566895,10.5551643371583 106.771697998047,10.5565347671509 106.767997741699,10.5590791702272 106.7646484375,10.5595474243163 106.761993408203,10.5590505599976 106.751007080078,10.5608024597168 106.742935180664,10.5595636367797 106.741966247559,10.5653715133667 106.742630004883,10.5710182189942 106.74528503418,10.5756759643555 106.747047424316,10.5779237747194 106.751335144043,10.5808267593384 106.757957458496,10.581753730774 106.760856628418,10.5815296173095 106.765647888184,10.5794563293458 106.769752502441,10.5765247344972 106.773132324219,10.5758438110352 106.779182434082,10.577260017395 106.782676696777,10.5819358825685 106.783439636231,10.5879011154175 106.78263092041,10.5971002578736 106.777847290039,10.6050424575806 106.782112121582,10.6101427078248 106.785011291504,10.6158695220947 106.78670501709,10.6174545288087 106.788688659668,10.6179304122926 106.791175842285,10.6174087524414 106.792625427246,10.6161918640137 106.792816162109,10.6136608123779 106.790504455566,10.6090888977051 106.792129516602,10.60719871521 106.794486999512,10.6078796386719 106.800773620605,10.6138954162598 106.806381225586,10.6162872314454 106.809509277344,10.6153583526611 106.810874938965,10.6130294799805 106.810150146484,10.6108312606811 106.805824279785,10.6078033447265 106.80590057373,10.6060523986816 106.80744934082,10.6049661636352 106.811637878418,10.6046390533447 106.814666748047,10.6088647842408 106.816909790039,10.6096124649048 106.817901611328,10.6090631484986 106.818382263184,10.6075410842895 106.816734313965,10.6032791137695 106.817344665527,10.6022825241089 106.819213867187,10.6017599105836 106.823707580566,10.6051883697509 106.828590393066,10.6038513183594 106.829627990723,10.6070365905762 106.832344055176,10.6087465286255]",,Not open,
Cần Giờ,Bình Khánh,"[106.837615966797,10.6270427703857 106.845512390137,10.6220998764038 106.841049194336,10.6098680496216 106.838729858398,10.6091213226318 106.836738586426,10.6112842559814 106.834739685059,10.6113615036011 106.833015441895,10.6108589172364 106.832344055176,10.6087465286255 106.829627990723,10.6070365905762 106.828590393066,10.6038513183594 106.823707580566,10.6051883697509 106.819213867187,10.6017599105836 106.817344665527,10.6022825241089 106.816734313965,10.6032791137695 106.818382263184,10.6075410842895 106.817901611328,10.6090631484986 106.816909790039,10.6096124649048 106.814666748047,10.6088647842408 106.811637878418,10.6046390533447 106.80744934082,10.6049661636352 106.80590057373,10.6060523986816 106.805824279785,10.6078033447265 106.810150146484,10.6108312606811 106.810874938965,10.6130294799805 106.809509277344,10.6153583526611 106.806381225586,10.6162872314454 106.800773620605,10.6138954162598 106.794486999512,10.6078796386719 106.792129516602,10.60719871521 106.790504455566,10.6090888977051 106.792816162109,10.6136608123779 106.792625427246,10.6161918640137 106.791175842285,10.6174087524414 106.788688659668,10.6179304122926 106.78670501709,10.6174545288087 106.785011291504,10.6158695220947 106.782112121582,10.6101427078248 106.777847290039,10.6050424575806 106.772430419922,10.6137371063232 106.77042388916,10.6200551986694 106.771514892578,10.6334314346313 106.770965576172,10.6367483139039 106.769142150879,10.6400070190431 106.763977050781,10.6449508666993 106.749069213867,10.6496410369874 106.741607666016,10.6557083129883 106.739242553711,10.6612052917481 106.739158630371,10.6651268005371 106.739891052246,10.667200088501 106.742309570313,10.6697854995729 106.747604370117,10.6709337234497 106.752456665039,10.670428276062 106.765510559082,10.6652860641479 106.76880645752,10.6658105850219 106.772796630859,10.668706893921 106.773704528809,10.6731052398682 106.772758483887,10.6762924194336 106.78279876709,10.6730594635011 106.792228698731,10.6673126220703 106.797187805176,10.6621589660645 106.807083129883,10.6574563980103 106.808975219727,10.6549844741821 106.814056396484,10.6405487060547 106.823928833008,10.6290426254273 106.826644897461,10.6278038024902 106.837615966797,10.6270427703857]",,Not open,
Cần Giờ,Long Hoà,"[106.942649841309,10.3854494094849 106.918464660645,10.3739805221559 106.894554138184,10.3650856018066 106.875877380371,10.3607187271119 106.867584228516,10.3598699569702 106.86669921875,10.3697347640991 106.867385864258,10.3971138000489 106.865455627441,10.4052314758301 106.859062194824,10.4223823547363 106.857933044434,10.4344587326051 106.863052368164,10.4462814331055 106.87410736084,10.4562397003174 106.875381469727,10.461784362793 106.870666503906,10.4675407409668 106.863288879394,10.4705333709717 106.861068725586,10.472885131836 106.861808776855,10.4764699935914 106.865257263184,10.4812421798706 106.86735534668,10.4865446090699 106.86693572998,10.4910898208618 106.863906860352,10.4964561462403 106.865631103516,10.4974775314331 106.870162963867,10.4982404708862 106.871864318848,10.4995565414429 106.873062133789,10.5029048919678 106.871650695801,10.5056390762329 106.867042541504,10.507882118225 106.866569519043,10.5095748901367 106.867683410645,10.5112380981446 106.870399475098,10.5126886367798 106.870880126953,10.5188512802125 106.872665405273,10.5229206085206 106.874351501465,10.52179813385 106.884368896484,10.5188446044922 106.89493560791,10.5193567276001 106.903213500977,10.5166721343994 106.90592956543,10.5165729522706 106.909225463867,10.5178050994874 106.911659240723,10.5198936462403 106.913208007813,10.5223712921144 106.914085388184,10.5279932022095 106.915344238281,10.5294713974 106.916969299316,10.5307569503785 106.92073059082,10.5315837860108 106.94068145752,10.525143623352 106.944808959961,10.5219945907593 106.947875976563,10.5163869857789 106.94889831543,10.5122451782226 106.949295043945,10.4990234375001 106.951461791992,10.4874973297119 106.951332092285,10.4851608276367 106.950210571289,10.4822549819947 106.940757751465,10.4755859375001 106.937942504883,10.4711961746216 106.937934875488,10.4699516296388 106.938842773438,10.4674606323242 106.946990966797,10.4638919830322 106.949462890625,10.451587677002 106.951683044434,10.4473390579224 106.953857421875,10.4449310302734 106.939949035644,10.4399452209473 106.928665161133,10.4402179718018 106.921867370605,10.4387607574463 106.92008972168,10.437056541443 106.91764831543,10.4310188293458 106.917839050293,10.4296607971192 106.919342041016,10.4281644821168 106.92261505127,10.426531791687 106.922439575195,10.4248962402343 106.920227050781,10.4207239151 106.923614501953,10.4178562164308 106.925155639648,10.4155120849611 106.930320739746,10.4128389358521 106.935737609863,10.4126462936402 106.935287475586,10.4052886962891 106.936836242676,10.4052524566652 106.936485290527,10.4007415771485 106.933601379395,10.3984775543213 106.933547973633,10.3979816436768 106.935264587402,10.3979864120483 106.933471679687,10.396248817444 106.934036254883,10.3959226608278 106.936019897461,10.396951675415 106.934791564942,10.3951635360718 106.935401916504,10.3935604095458 106.942649841309,10.3854494094849]",,Not open,
Cần Giờ,Lý Nhơn,"[106.822532653809,10.3774127960206 106.815086364746,10.3912582397462 106.804443359375,10.4036445617676 106.777740478516,10.4330711364747 106.772254943848,10.4403581619263 106.763153076172,10.4524536132813 106.756858825684,10.4625682830812 106.752311706543,10.4723539352418 106.745391845703,10.4884366989137 106.743583679199,10.4976272583008 106.744018554688,10.4999876022339 106.748443603516,10.5185613632202 106.749099731445,10.5307140350342 106.744178771973,10.5529985427856 106.742935180664,10.5595636367797 106.751007080078,10.5608024597168 106.761993408203,10.5590505599976 106.7646484375,10.5595474243163 106.767997741699,10.5590791702272 106.771697998047,10.5565347671509 106.772468566895,10.5551643371583 106.773170471191,10.5500011444092 106.77961730957,10.547061920166 106.780166625977,10.5457944869996 106.779754638672,10.5445261001587 106.776550292969,10.540678024292 106.776100158692,10.5383977890015 106.78059387207,10.5308084487915 106.781776428223,10.5214138031006 106.787857055664,10.5154008865358 106.78857421875,10.5132856369019 106.786750793457,10.504397392273 106.798049926758,10.4901046752931 106.803001403809,10.4941339492799 106.809379577637,10.4929876327515 106.812477111816,10.4934282302858 106.817840576172,10.4958038330079 106.819686889648,10.4980459213257 106.82112121582,10.5033931732179 106.823211669922,10.5068893432618 106.824569702148,10.506630897522 106.825294494629,10.5055074691774 106.827255249023,10.4999885559082 106.829055786133,10.4981803894044 106.831764221192,10.4972543716431 106.834053039551,10.4976568222046 106.842353820801,10.5048809051514 106.844383239746,10.5050773620607 106.846099853516,10.5045890808105 106.847991943359,10.5025606155396 106.848876953125,10.4971990585327 106.850730895996,10.4946699142457 106.852752685547,10.4936828613282 106.855186462402,10.4936790466309 106.863906860352,10.4964561462403 106.86693572998,10.4910898208618 106.86735534668,10.4865446090699 106.865257263184,10.4812421798706 106.861808776855,10.4764699935914 106.861068725586,10.472885131836 106.863288879394,10.4705333709717 106.870666503906,10.4675407409668 106.875381469727,10.461784362793 106.87410736084,10.4562397003174 106.863052368164,10.4462814331055 106.857933044434,10.4344587326051 106.859062194824,10.4223823547363 106.865455627441,10.4052314758301 106.867385864258,10.3971138000489 106.86669921875,10.3697347640991 106.867584228516,10.3598699569702 106.852767944336,10.358331680298 106.834594726563,10.3542261123658 106.822532653809,10.3774127960206]",,Not open,
