District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
Gò Vấp,14,"[106.632369995117,10.8330116271973 106.632820129395,10.834680557251 106.631935119629,10.8367757797242 106.633018493652,10.8381509780884 106.632102966309,10.8403463363647 106.633529663086,10.8410558700561 106.633758544922,10.8451232910156 106.634986877441,10.8449611663819 106.640159606934,10.8493213653564 106.641296386719,10.8495426177979 106.64281463623,10.8510046005249 106.642951965332,10.8522300720214 106.644279479981,10.8528356552125 106.644996643066,10.8545265197753 106.646369934082,10.8540773391724 106.646949768067,10.8579063415528 106.649887084961,10.8590698242188 106.651191711426,10.8576211929322 106.651412963867,10.8560314178467 106.653030395508,10.8564147949219 106.654014587402,10.8550558090211 106.655838012695,10.8550443649293 106.656143188477,10.8514709472657 106.644172668457,10.8462619781494 106.640151977539,10.8443393707277 106.633972167969,10.8323869705201 106.632369995117,10.8330116271973]",,Not open,
Gò Vấp,15,"[106.675987243652,10.8520736694337 106.675743103027,10.8506021499635 106.676948547363,10.8487310409546 106.675567626953,10.8478956222535 106.673385620117,10.8443584442139 106.665000915527,10.849802017212 106.666076660156,10.8562345504761 106.667091369629,10.8560142517091 106.668334960938,10.8578624725342 106.672821044922,10.8606481552125 106.675018310547,10.8575010299684 106.675048828125,10.8549118041993 106.675819396973,10.8532705307007 106.675987243652,10.8520736694337]",,Not open,
Gò Vấp,16,"[106.65690612793,10.8477029800416 106.656143188477,10.8514709472657 106.660621643066,10.8524532318116 106.665000915527,10.849802017212 106.673385620117,10.8443584442139 106.671081542969,10.8414192199707 106.670562744141,10.8386116027833 106.665252685547,10.8386459350586 106.66480255127,10.8449735641479 106.660377502441,10.8462638854982 106.660415649414,10.8469877243043 106.65690612793,10.8477029800416]",,Not open,
Gò Vấp,17,"[106.678886413574,10.8509511947633 106.678405761719,10.8470010757446 106.676612854004,10.8419857025146 106.680374145508,10.8381090164186 106.682136535645,10.8335256576539 106.678321838379,10.8306198120117 106.677589416504,10.8308658599854 106.675605773926,10.8352251052858 106.675529479981,10.83855342865 106.670562744141,10.8386116027833 106.671081542969,10.8414192199707 106.673385620117,10.8443584442139 106.675567626953,10.8478956222535 106.676948547363,10.8487310409546 106.675743103027,10.8506021499635 106.675987243652,10.8520736694337 106.678886413574,10.8509511947633]",,Not open,
Bình Thạnh,1,"[106.697525024414,10.7936506271362 106.696006774902,10.7935676574708 106.696548461914,10.8026151657104 106.698684692383,10.8027420043945 106.699569702148,10.7994737625122 106.697525024414,10.7936506271362]","https://www.google.com/maps/place/B%C3%ACnh+Th%E1%BA%A1nh,+Ho+Chi+Minh+City,+Vietnam/@10.812135,106.7001169,14z/data=!3m1!4b1!4m5!3m4!1s0x3175289f02a8eae9:0x34ec9d90e055cde3!8m2!3d10.8105831!4d106.7091422",Ok,18
Bình Thạnh,2,"[106.697830200195,10.7936420440674 106.697525024414,10.7936506271362 106.699569702148,10.7994737625122 106.698684692383,10.8027420043945 106.701599121094,10.8038539886475 106.702812194824,10.8035440444946 106.704292297363,10.8003416061401 106.702713012695,10.7978668212891 106.699417114258,10.7977390289307 106.697830200195,10.7936420440674]",,Ok,
Bình Thạnh,3,"[106.691612243652,10.7955265045165 106.692039489746,10.7972898483276 106.691787719727,10.8000621795654 106.692420959473,10.800934791565 106.692161560059,10.8022947311401 106.690780639648,10.8023691177368 106.690925598145,10.8033437728882 106.692459106445,10.8031415939332 106.694938659668,10.8028411865235 106.696548461914,10.8026151657104 106.696006774902,10.7935676574708 106.694839477539,10.7934856414796 106.694404602051,10.794885635376 106.691612243652,10.7955265045165]",,Ok,
Bình Thạnh,5,"[106.691047668457,10.8111772537232 106.688095092773,10.8083410263062 106.683990478516,10.8099689483643 106.685188293457,10.81156539917 106.685089111328,10.8139448165894 106.687393188477,10.8147077560425 106.688270568848,10.8158035278321 106.689498901367,10.8148813247681 106.691047668457,10.8111772537232]",,Ok,
Bình Thạnh,6,"[106.688095092773,10.8083410263062 106.691421508789,10.8051090240479 106.692459106445,10.8031415939332 106.690925598145,10.8033437728882 106.687927246094,10.8037214279176 106.688499450684,10.8056268692016 106.687049865723,10.8062171936036 106.687080383301,10.8052444458008 106.68391418457,10.8070011138916 106.683990478516,10.8099689483643 106.688095092773,10.8083410263062]",,Ok,
Bình Thạnh,7,"[106.694938659668,10.8028411865235 106.692459106445,10.8031415939332 106.691421508789,10.8051090240479 106.688095092773,10.8083410263062 106.691047668457,10.8111772537232 106.695129394531,10.8083171844483 106.694938659668,10.8028411865235]",,Ok,
Bình Thạnh,11,"[106.698661804199,10.8182859420776 106.69783782959,10.816843032837 106.695251464844,10.8156099319459 106.695510864258,10.8111696243287 106.695129394531,10.8083171844483 106.691047668457,10.8111772537232 106.689498901367,10.8148813247681 106.691307067871,10.8156671524048 106.692054748535,10.8175401687622 106.693336486816,10.8178482055664 106.692687988281,10.8186845779418 106.694122314453,10.8205280303955 106.693519592285,10.8220109939576 106.698616027832,10.8232431411744 106.698616027832,10.8221035003663 106.697364807129,10.821741104126 106.698661804199,10.8182859420776]",,Ok,
Bình Thạnh,12,"[106.707725524902,10.8082456588746 106.700035095215,10.8075275421144 106.698760986328,10.8066501617432 106.697769165039,10.8067464828491 106.695510864258,10.8111696243287 106.695251464844,10.8156099319459 106.69783782959,10.816843032837 106.698661804199,10.8182859420776 106.700805664062,10.8172264099122 106.703033447266,10.8181819915771 106.703590393067,10.8166093826294 106.704833984375,10.8167362213135 106.705284118652,10.8151693344116 106.704193115234,10.8137712478638 106.704063415527,10.8109846115113 106.707740783691,10.8096866607666 106.707725524902,10.8082456588746]",,Ok,
Bình Thạnh,13,"[106.698616027832,10.8232431411744 106.699165344238,10.8257246017456 106.701065063477,10.8271532058716 106.700859069824,10.8282098770142 106.699577331543,10.8286399841309 106.69979095459,10.8302946090698 106.695281982422,10.8310556411743 106.695945739746,10.832696914673 106.700485229492,10.8352842330933 106.700950622559,10.8374118804932 106.702812194824,10.839135169983 106.707389831543,10.8357906341553 106.708229064941,10.8337268829346 106.709083557129,10.8256006240846 106.709968566895,10.8237543106079 106.713188171387,10.8211736679078 106.711769104004,10.8179273605347 106.710647583008,10.8171157836915 106.709922790527,10.8171644210815 106.708419799805,10.819585800171 106.704833984375,10.8167362213135 106.703590393067,10.8166093826294 106.703033447266,10.8181819915771 106.700805664062,10.8172264099122 106.698661804199,10.8182859420776 106.697364807129,10.821741104126 106.698616027832,10.8221035003663 106.698616027832,10.8232431411744]",,Ok,
Bình Thạnh,14,"[106.701599121094,10.8038539886475 106.698684692383,10.8027420043945 106.696548461914,10.8026151657104 106.694938659668,10.8028411865235 106.695129394531,10.8083171844483 106.695510864258,10.8111696243287 106.697769165039,10.8067464828491 106.698760986328,10.8066501617432 106.699638366699,10.8043622970581 106.701637268066,10.804838180542 106.701599121094,10.8038539886475]",,Ok,
Bình Thạnh,15,"[106.711372375488,10.8014602661133 106.706527709961,10.7995843887329 106.700485229492,10.7933368682862 106.697830200195,10.7936420440674 106.699417114258,10.7977390289307 106.702713012695,10.7978668212891 106.704292297363,10.8003416061401 106.702812194824,10.8035440444946 106.71142578125,10.8027982711791 106.711372375488,10.8014602661133]",,Ok,
Bình Thạnh,17,"[106.709999084473,10.7954807281495 106.70637512207,10.7916507720948 106.700485229492,10.7933368682862 106.706527709961,10.7995843887329 106.711372375488,10.8014602661133 106.709999084473,10.7954807281495]",,Ok,
Bình Thạnh,19,"[106.713439941406,10.7922191619873 106.713539123535,10.7902126312256 106.712409973144,10.7878208160401 106.708778381348,10.7877254486085 106.70637512207,10.7916507720948 106.709999084473,10.7954807281495 106.709358215332,10.7933664321901 106.713439941406,10.7922191619873]",,Ok,
Bình Thạnh,21,"[106.716270446777,10.8004264831544 106.716201782227,10.798812866211 106.714736938477,10.7988882064819 106.713264465332,10.797064781189 106.713439941406,10.7922191619873 106.709358215332,10.7933664321901 106.709999084473,10.7954807281495 106.711372375488,10.8014602661133 106.716270446777,10.8004264831544]",,Ok,
